Date, Close/Last, Volume, Open, High, Low
04/15/2020, 32.12, 42528, 31.98, 32.52, 31.8
04/14/2020, 33.09, 30732, 33.1, 33.1, 32.471
04/13/2020, 32.45, 604782, 32.68, 32.97, 31.8
04/09/2020, 32.67, 149671, 32.8, 33.02, 32.2333
04/08/2020, 32.09, 613470, 31.6, 32.26, 31.15
04/07/2020, 31.27, 38970, 32.2, 32.31, 31.05
04/06/2020, 30.87, 24709, 30.26, 30.87, 30.14
04/03/2020, 29.15, 19908, 29.32, 29.36, 28.845
04/02/2020, 29.4, 17606, 28.5, 30.22, 28.5
04/01/2020, 28.5, 53544, 28.85, 29.28, 28.5
03/31/2020, 29.99, 44034, 30, 30.32, 29.7104
03/30/2020, 30.09, 55841, 28.93, 30.2064, 28.92
03/27/2020, 29.01, 60924, 29.32, 29.9831, 28.92
03/26/2020, 30.37, 80637, 28.84, 30.37, 28.716
03/25/2020, 28.54, 95992, 28.47, 29.7, 28.0001
03/24/2020, 28.05, 39773, 27.8, 28.1599, 27.0071
03/23/2020, 25.72, 55810, 26.11, 26.7646, 25.211
03/20/2020, 26.91, 24834, 28.28, 28.8352, 26.9
03/19/2020, 27.82, 29109, 27.84, 28.72, 27.08
03/18/2020, 27.51, 81293, 28, 29.0011, 27.1345
03/17/2020, 29.55, 117240, 28.29, 29.935, 27.52
03/16/2020, 27.52, 66918, 28.27, 29.4893, 27.38
03/13/2020, 30.78, 44698, 29.92, 30.78, 28.3168
03/12/2020, 28.45, 146910, 29.6, 30.2499, 27.54
03/11/2020, 31.41, 499242, 32.36, 32.36, 31.04
03/10/2020, 33.18, 51577, 33.48, 33.48, 31.54
03/09/2020, 32.05, 70172, 33, 34.3118, 31.68
03/06/2020, 34.49, 75059, 33.81, 34.55, 33.69
03/05/2020, 35.1, 22008, 35.42, 35.5748, 34.8917
03/04/2020, 36.22, 18066, 35.49, 36.22, 35.146
03/03/2020, 34.76, 69984, 35.77, 36, 34.445
03/02/2020, 35.7, 46405, 34.44, 35.7, 34.11
02/28/2020, 34.23, 84700, 33.51, 34.23, 33.212
02/27/2020, 34.7522, 125980, 37.5, 37.5, 34.75
02/26/2020, 36.07, 81745, 36.45, 36.8696, 36
02/25/2020, 36.31, 28698, 37.66, 37.66, 36.16
02/24/2020, 37.4163, 34172, 37.5, 37.7275, 37.32
02/21/2020, 38.5763, 52597, 38.6835, 38.6837, 38.5
02/20/2020, 38.9, 9827, 38.89, 39.0199, 38.5946
02/19/2020, 38.93, 16166, 39.02, 39.02, 38.89
02/18/2020, 38.8298, 15561, 38.92, 39.016, 38.69
02/14/2020, 39.1242, 9212, 39.18, 39.6, 39.0548
02/13/2020, 39.185, 14467, 39.24, 39.3312, 39.15
02/12/2020, 39.5, 20590, 39.52, 39.5758, 39.3014
02/11/2020, 39.2162, 17526, 39.38, 39.3991, 39.15
02/10/2020, 39.0847, 26918, 38.92, 39.1365, 38.92
02/07/2020, 39.02, 4659, 39.24, 39.24, 39.0036
02/06/2020, 39.41, 30405, 39.59, 39.59, 39.3
02/05/2020, 39.4, 9828, 39.03, 39.4, 39.015
02/04/2020, 38.65, 10054, 38.74, 38.79, 38.6012
02/03/2020, 38.14, 14689, 38.28, 38.38, 38.06
